Date,Water Temperature (°C),pH Level,Dissolved Oxygen (mg/L),Ammonia Level (mg/L),Nitrate Level (mg/L),Fish Density (fish/m³),Feed Rate (kg/day),Yield (kg)
2020-01-01,20.998421410393263,7.995045912091592,5.137646933354,0.6120540334328345,48.443656934130246,6.536109606864554,1.6536286925104513,100.01921885221726
2020-01-02,15.39272330433352,6.929540445753192,10.45994135422975,3.7955954779213004,45.156987023709036,5.520141763194053,1.3542224826377927,99.94945709655836
2020-01-03,25.723368428987428,6.7606079972119435,5.7560158889467905,2.9777464020292665,25.600042830707988,1.1523767523189221,1.2988831930059206,100.69274713186897
2020-01-04,15.394340081650776,8.197160222713784,7.863965784275785,3.0453308462724915,45.28398176884904,9.100871303168061,0.8945852902511756,99.66116683182452
2020-01-05,24.660635618917972,8.447744849482925,5.880928507118867,1.092352155097318,20.21523290313283,8.442809447356279,0.8529329846548052,101.84793711119968
2020-01-06,22.205169103804625,7.752323511041263,13.595286211130563,3.255841945635419,11.521033267831232,2.567509128290092,1.4114989574522623,100.3627808926176
2020-01-07,13.399925934960024,7.409581775670963,10.910707096477058,3.82729223623432,11.633908841104256,4.7194585964098215,1.506010523357187,101.02544731917092
2020-01-08,28.102677496883715,7.580106783816191,14.021064657183128,1.7894426536284462,33.115776222106334,7.934940826242111,1.06940508449219,102.5508822651451
2020-01-09,14.012873659143914,7.47101958467988,11.883531995402283,4.006735719808561,25.053516035363856,9.820560838485559,1.9416115642621998,103.37674668614288
2020-01-10,29.791741482813396,8.899962270594187,14.710291312450996,1.7439529426601048,32.947542350272336,9.560233417976077,1.9158291619458567,104.02886277468914
2020-01-11,10.146209773098816,8.42022476304785,10.098776547604066,3.790692307546438,34.30379821310849,9.094232797085567,0.8836160310242414,103.76872968028134
2020-01-12,15.26966754285806,7.020218037125276,11.387105817628745,0.16865053728859491,1.1161436448858808,2.4253650756922567,1.6591822831379919,102.65819491463066
2020-01-13,13.997205945483977,7.46047288013495,10.763088198890566,2.7558230073682632,2.701979617395117,9.230275954081044,1.1322088990369892,101.71001192958573
2020-01-14,10.279868203409253,7.860030728407775,9.842604294466128,4.847632803199433,26.633886329562493,8.906004216559715,1.0723361863586316,104.92427071564455
2020-01-15,24.647358002946312,8.03246465515922,13.459593654230126,4.906223003411954,9.551773888003845,4.3925492004975055,0.20443171661943849,105.15742364896448
2020-01-16,23.868516041991924,7.670459740071918,11.4452513567036,1.4087628917087032,31.626688440221983,4.550703350826359,1.1905519498897894,103.38155679780837
2020-01-17,25.84701928709861,8.525316587529897,13.013122648554727,2.206995455401777,27.609286958532405,5.139180297596447,1.8110980680700128,105.24077061316561
2020-01-18,15.133970929291305,8.41901504864558,12.863639366024131,0.31488953993316526,29.28801791854456,6.905580678697753,1.582254313470675,104.25264653487535
2020-01-19,18.8867033416594,7.762894796570417,6.910451606552953,4.366706538022998,15.122768991550533,3.347520543847142,1.594002574928598,106.35048913007462
2020-01-20,23.182270432430947,8.636073466954326,11.501635325176437,2.8428607657010705,31.992175313894833,1.2065358649595022,0.40386517329504457,104.59783195451988
2020-01-21,18.795370077762872,8.377723826105965,6.996480191813341,1.9255033947025852,41.47463182425115,2.27106572137518,0.7810539495537708,107.35388028348963
2020-01-22,23.946515406358316,8.446454621801609,10.833204782437708,0.5638527924457654,49.90356267961186,4.9610431681909635,0.543089341635448,106.42288176936195
2020-01-23,22.679468168808842,8.891001948583542,11.774346844463004,4.733836427484446,41.922219308610714,3.5380231248358163,0.7002390366657082,107.69479027359272
2020-01-24,12.29295606044353,7.166167353023007,14.97235071587587,2.6510952391049685,27.874937983997373,7.880649049325187,1.2011247526380782,105.6928367927862
2020-01-25,25.62086242153936,7.169120405917123,5.305419781497384,1.4146396454145194,9.671479583997828,1.9602106349434423,0.7930892454034709,106.81990949650393
2020-01-26,24.413527181850366,8.7223806392266,5.9124239411372095,1.7510756506575476,34.072293805991045,9.257187029993235,1.1653258531821056,105.7026568277788
2020-01-27,23.116687752348106,8.430565933464198,5.770266963712315,1.3534859046107384,46.88268927789891,9.0579446194952,0.9331523717216963,107.7717451776235
2020-01-28,13.101872125420046,8.816363853589069,8.9836128626674,3.0090490442849034,10.59332698661512,9.178811352399594,0.6445695610544825,108.08133495024124
2020-01-29,15.359928975907273,6.657825400811133,13.215883614858138,4.6498178789025495,12.799781026328855,7.65648998742994,0.28126652498980137,109.8325266272297
2020-01-30,17.86354063175201,8.069392693153992,13.440563327871356,4.283469016632822,7.450427170582557,1.9629997433523938,1.794493068955087,108.16937819837754
2020-01-31,15.598592433128868,6.861570845308618,12.369795957211517,2.3019043771298877,36.83608218132009,4.943238142326101,0.12160939540883248,108.66184970410586
2020-02-01,14.556205813522629,7.7597429957314565,13.968782418299476,4.132496811505039,20.328075171182963,2.1826483462491737,0.10313972746974522,107.71587906201725
2020-02-02,26.107153403235515,6.88936732963361,8.228599441694525,2.1155274063816494,3.1347819443192035,9.889292734849743,1.6709157055507373,108.97553544629073
2020-02-03,22.764644927204046,6.820196272462198,5.881546442522991,1.2615357037931902,43.74749957451401,3.9973458105880595,1.9939407866190009,108.3001605066954
2020-02-04,21.309442631005005,6.530420863455083,5.581530279898502,4.91707557633214,27.883595235128332,6.267974877010559,1.4814953726559468,109.0402138905182
2020-02-05,14.519054217065078,8.075597030957262,13.521327196193862,1.5194378398541093,16.55471460001779,8.014537488197996,0.129020292319481,109.34153322445697
2020-02-06,28.361531245372827,7.397556541725216,12.304362943536912,1.618621154934542,17.199148803054847,9.28554475803081,0.5307114306701753,109.05569786118883
